Restaurant _Name,Restaurant _Type,Rating,Votes,Avg_Cost (two people),Online_Order,Table_Booking,Cuisines_Type,Area
A1 Spice Inn,Casual Dining,3.5,46,500,No,No,"Biryani, Chinese, Hyderabadi, North Indian, South Indian",Malleshwaram
A2B - Adyar Ananda Bhavan,Casual Dining,2.5,544,400,Yes,No,"South Indian, North Indian, Chinese, Street Food, Fast Food",Whitefield
A2B Veg - Adyar Ananda Bhavan,Casual Dining,2.7,97,400,Yes,No,"South Indian, Fast Food, Street Food",Basavanagudi
A3 Nuwang Kitchen,Quick Bites,3.7,42,300,Yes,No,"Chinese, North Indian",Indiranagar
Aaccord Restaurant,Casual Dining,2.8,40,600,No,No,"Continental, North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Aadhya Hotel,"Casual Dining, Bar",3.3,5,800,Yes,No,"South Indian, North Indian, Chinese, Biryani",Banashankari
Aadvik Nightfood,Delivery,3.6,22,350,Yes,No,Fast Food,Frazer Town
Aagaman Veg,Casual Dining,2.8,40,900,Yes,No,"North Indian, Chinese, South Indian",Electronic City
Aaha,Quick Bites,3.6,93,300,Yes,No,"North Indian, Chinese",Marathahalli
Aaha Andhra,Casual Dining,3.4,58,900,No,No,"Andhra, Biryani, North Indian",Marathahalli
Aahar Cafe,Quick Bites,0,40,100,No,No,South Indian,Basavanagudi
Aahar Vihar,Quick Bites,4,68,250,Yes,No,North Indian,Brookefield
Aahara Vihar,Quick Bites,3.5,13,300,No,No,"South Indian, North Indian, Chinese",Malleshwaram
Aaharam,Quick Bites,4,65,350,No,No,"Chinese, North Indian",HSR
Aalishan Restaurant & Caterer,Casual Dining,3.5,888,650,Yes,No,"North Indian, Mughlai","Byresandra,Tavarekere,Madiwala"
Aami Bangali,Casual Dining,3,66,700,Yes,No,Bengali,"Byresandra,Tavarekere,Madiwala"
Aami Kolkata,Delivery,3.3,5,600,No,No,Bengali,Bannerghatta Road
Aao G Khao G,Quick Bites,3.5,11,200,Yes,No,"North Indian, Chinese",HSR
Aapni Rasoi,Quick Bites,3.2,127,400,Yes,No,North Indian,Bellandur
Aaranya Restaurant,Casual Dining,3.4,212,800,Yes,No,"North Indian, Chinese, Mughlai","Byresandra,Tavarekere,Madiwala"
Aarti Paratha & Rolls Corner,Quick Bites,3.6,15,200,Yes,No,"North Indian, Fast Food",New BEL Road
Aarya Pork Hotel,Quick Bites,3.3,11,300,No,No,"South Indian, Biryani, Chinese","Byresandra,Tavarekere,Madiwala"
Aashirvaad Restaurant,Quick Bites,3.1,249,300,Yes,No,"North Indian, Oriya, Chinese",Brookefield
Aashish Foods,Quick Bites,2.7,35,150,Yes,No,North Indian,Brookefield
Aasife & Brothers Biriyani Centre,Casual Dining,3.8,120,600,Yes,No,"Biryani, North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Aastha Bengali Mess,Quick Bites,3.9,131,250,Yes,No,"Chinese, Bengali",Malleshwaram
Aata's Kitchen,Quick Bites,2.8,40,250,Yes,No,"South Indian, North Indian","Byresandra,Tavarekere,Madiwala"
Aathithya,Casual Dining,3.1,16,1100,No,No,"North Indian, Continental, Chinese",Brigade Road
Aathurar,Casual Dining,3.2,574,600,Yes,No,"Chettinad, Biryani, South Indian, Seafood",Indiranagar
Abbabi Chicken,Quick Bites,3.7,134,200,No,No,Fast Food,Sarjapur Road
ABC Grand,Casual Dining,3.5,54,0,No,No,"Andhra, Chinese, North Indian",Old Airport Road
Abhiruchi,Casual Dining,3.8,164,650,No,No,"Andhra, Seafood, North Indian, Chinese",Kalyan Nagar
Abhiruchi Andhra Mess,Mess,3.1,61,300,Yes,No,"Andhra, Biryani, South Indian",Whitefield
Abhiruchi Hotel,Casual Dining,3.2,12,500,Yes,No,"North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Abhiruchi Moonlight,"Takeaway, Delivery",3.3,4,300,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala"
Abhiruchi Restaurant,Casual Dining,3.4,5,400,Yes,No,"Andhra, North Indian, Chinese",Bellandur
AB's - Absolute Barbecues,Casual Dining,4.6,1502,1400,No,Yes,"European, Mediterranean, North Indian, BBQ",Kalyan Nagar
Absolute Chinese,Quick Bites,3.8,209,450,Yes,No,"Chinese, Fast Food, Momos",Malleshwaram
Absolute Shawarma,"Takeaway, Delivery",2.8,40,150,Yes,No,Lebanese,Brookefield
Absolute Waffles,Dessert Parlor,3.9,49,200,Yes,No,"Desserts, Fast Food",Malleshwaram
Aburrahaman,Delivery,2.8,40,400,No,No,"North Indian, South Indian, Chinese",Indiranagar
Abzain Paradise,Quick Bites,2.9,42,300,No,No,North Indian,New BEL Road
Achayyan's,Quick Bites,3.8,405,350,Yes,No,"Kerala, South Indian",Indiranagar
Ackley Kitchen,Quick Bites,3.6,33,500,Yes,No,"Fast Food, Continental, Burger",Marathahalli
Adarsh Bakery,Bakery,3.1,10,300,No,No,"Bakery, Fast Food",Electronic City
Adda,Quick Bites,3.3,5,300,No,No,South Indian,Basavanagudi
Addhuri Udupi Bhojana,Quick Bites,3.7,88,300,No,No,"South Indian, North Indian",Banashankari
Adiga's,Quick Bites,3.3,55,150,No,No,South Indian,Basavanagudi
Adi's Cake N Cafe,Bakery,3.3,4,400,No,No,Bakery,"Byresandra,Tavarekere,Madiwala"
Adithya,Casual Dining,3.9,178,450,Yes,No,"South Indian, North Indian, Chinese",Bannerghatta Road
Adithya Family Restaurant,Quick Bites,3.7,27,250,No,No,South Indian,"Byresandra,Tavarekere,Madiwala"
Adithya Tiffin Centre,"Takeaway, Delivery",2.8,40,200,No,No,North Indian,Brigade Road
Adithya Veg,Quick Bites,3.3,10,300,No,No,"South Indian, Chinese",Basavanagudi
Aditya Delights,Quick Bites,3.7,59,300,No,No,"Chinese, North Indian, Mangalorean",New BEL Road
Aditya Sweets,Sweet Shop,3.7,21,200,Yes,No,"Mithai, Fast Food",Brookefield
Aditya Uphar,Quick Bites,3.5,30,200,No,No,"South Indian, Chinese, North Indian",JP Nagar
Adukkala Restaurant,Casual Dining,2.9,128,600,Yes,No,Kerala,Kammanahalli
Adupadi,Quick Bites,2.9,25,450,No,No,"South Indian, Chettinad",Whitefield
Advika Briyani Center,Delivery,3.2,10,300,No,No,Biryani,JP Nagar
Adya Hotel,Quick Bites,3.3,4,400,No,No,"South Indian, North Indian, Chinese",Electronic City
Adyar Anand Bhavan Sweets,Quick Bites,2.8,40,200,No,No,"South Indian, North Indian, Chinese, Street Food",Electronic City
